u,v,cn,rai,jc,aai,pa,ccn,cra,wic,label,pos_split
DB00001,DB00003,0,0.0,0.0,0.0,24,0,0.0,0.0,1,test
DB00001,DB00009,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train
DB00001,DB00011,1,0.2,0.125,0.6213349345596119,18,2,0.2,1000.0,1,train
DB00001,DB00014,0,0.0,0.0,0.0,18,0,0.0,0.0,1,train
DB00001,DB00021,0,0.0,0.0,0.0,30,0,0.0,0.0,1,test
DB00001,DB00025,1,0.3333333333333333,0.1,0.9102392266268373,30,2,0.3333333333333333,1000.0,1,train
DB00001,DB00028,0,0.0,0.0,0.0,18,0,0.0,0.0,1,train
DB00001,DB00029,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train
DB00001,DB00002,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00001,DB00005,1,0.2,0.08333333333333333,0.6213349345596119,42,1,0.0,0.0,0,
DB00001,DB00008,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00001,DB00010,1,0.25,0.1111111111111111,0.7213475204444817,24,1,0.0,0.0,0,
DB00001,DB00020,1,0.3333333333333333,0.08333333333333333,0.9102392266268373,42,1,0.0,0.0,0,
DB00001,DB00022,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00001,DB00031,2,0.45,0.2222222222222222,1.3426824550040934,30,2,0.0,0.0,0,
DB00001,DB00015,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00001,DB00016,2,0.5333333333333333,0.16666666666666666,1.531574161186449,48,2,0.0,0.0,0,
DB00001,DB00017,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00001,DB00027,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00001,DB00033,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00001,DB00040,0,0.0,0.0,0.0,36,0,0.0,0.0,0,
DB00001,DB00004,1,0.2,0.09090909090909091,0.6213349345596119,36,1,0.0,0.0,0,
DB00001,DB00030,1,0.2,0.09090909090909091,0.6213349345596119,36,1,0.0,0.0,0,
DB00001,DB00032,1,0.25,0.1111111111111111,0.7213475204444817,24,1,0.0,0.0,0,
DB00001,DB00039,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00001,DB00006,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00001,DB00019,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00001,DB00007,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00001,DB00013,1,0.2,0.1,0.6213349345596119,30,1,0.0,0.0,0,
DB00001,DB00024,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00001,DB00026,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00001,DB00023,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00001,DB00038,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00001,DB00035,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00001,DB00012,2,0.5333333333333333,0.2857142857142857,1.531574161186449,18,4,0.5333333333333333,2000.0,0,
DB00001,DB00018,1,0.3333333333333333,0.07692307692307693,0.9102392266268373,48,1,0.0,0.0,0,
DB00001,DB00034,0,0.0,0.0,0.0,36,0,0.0,0.0,0,
DB00001,DB00036,1,0.3333333333333333,0.14285714285714285,0.9102392266268373,12,1,0.0,0.0,0,
DB00001,DB00037,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00003,DB00009,1,0.125,0.125,0.48089834696298783,20,1,0.0,0.0,0,
DB00003,DB00011,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00003,DB00014,1,0.125,0.16666666666666666,0.48089834696298783,12,1,0.0,0.0,0,
DB00003,DB00021,2,0.3666666666666667,0.2857142857142857,1.179445561110859,20,2,0.0,0.0,1,test
DB00003,DB00025,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00003,DB00028,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00003,DB00029,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00003,DB00002,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00003,DB00005,1,0.125,0.1,0.48089834696298783,28,1,0.0,0.0,0,
DB00003,DB00008,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00003,DB00010,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00003,DB00020,1,0.16666666666666666,0.1,0.5581106265512472,28,1,0.0,0.0,0,
DB00003,DB00022,0,0.0,0.0,0.0,8,0,0.0,0.0,0,
DB00003,DB00031,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00003,DB00015,0,0.0,0.0,0.0,20,0,0.0,0.0,1,train
DB00003,DB00016,0,0.0,0.0,0.0,32,0,0.0,0.0,1,train
DB00003,DB00017,0,0.0,0.0,0.0,12,0,0.0,0.0,1,test
DB00003,DB00027,0,0.0,0.0,0.0,8,0,0.0,0.0,1,test
DB00003,DB00033,0,0.0,0.0,0.0,16,0,0.0,0.0,1,train
DB00003,DB00040,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train
DB00003,DB00004,1,0.2,0.1111111111111111,0.6213349345596119,24,1,0.0,0.0,0,
DB00003,DB00030,1,0.2,0.1111111111111111,0.6213349345596119,24,1,0.0,0.0,0,
DB00003,DB00032,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00003,DB00039,1,0.16666666666666666,0.125,0.5581106265512472,20,2,0.16666666666666666,1000.0,0,
DB00003,DB00006,1,0.16666666666666666,0.2,0.5581106265512472,8,2,0.16666666666666666,1000.0,0,
DB00003,DB00019,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00003,DB00007,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00003,DB00013,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00003,DB00024,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,12,2,0.16666666666666666,1000.0,0,
DB00003,DB00026,2,0.45,0.3333333333333333,1.3426824550040934,16,2,0.0,0.0,0,
DB00003,DB00023,1,0.25,0.14285714285714285,0.7213475204444817,16,2,0.25,1000.0,0,
DB00003,DB00038,1,0.125,0.25,0.48089834696298783,4,1,0.0,0.0,0,
DB00003,DB00035,0,0.0,0.0,0.0,16,0,0.0,0.0,0,
DB00003,DB00012,1,0.25,0.16666666666666666,0.7213475204444817,12,1,0.0,0.0,0,
DB00003,DB00018,1,0.125,0.09090909090909091,0.48089834696298783,32,1,0.0,0.0,0,
DB00003,DB00034,1,0.125,0.1111111111111111,0.48089834696298783,24,1,0.0,0.0,0,
DB00003,DB00036,1,0.125,0.2,0.48089834696298783,8,1,0.0,0.0,0,
DB00003,DB00037,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00009,DB00011,1,0.16666666666666666,0.14285714285714285,0.5581106265512472,15,1,0.0,0.0,0,
DB00009,DB00014,2,0.29166666666666663,0.3333333333333333,1.039008973514235,15,2,0.0,0.0,0,
DB00009,DB00021,1,0.16666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,
DB00009,DB00025,1,0.16666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,
DB00009,DB00028,1,0.16666666666666666,0.14285714285714285,0.5581106265512472,15,1,0.0,0.0,0,
DB00009,DB00029,2,0.3666666666666667,0.2857142857142857,1.179445561110859,20,2,0.0,0.0,0,
DB00009,DB00002,1,0.2,0.125,0.6213349345596119,20,1,0.0,0.0,0,
DB00009,DB00005,1,0.125,0.09090909090909091,0.48089834696298783,35,1,0.0,0.0,0,
DB00009,DB00008,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test
DB00009,DB00010,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00009,DB00020,0,0.0,0.0,0.0,35,0,0.0,0.0,0,
DB00009,DB00022,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00009,DB00031,0,0.0,0.0,0.0,25,0,0.0,0.0,1,train
DB00009,DB00015,1,0.16666666666666666,0.1111111111111111,0.5581106265512472,25,1,0.0,0.0,0,
DB00009,DB00016,0,0.0,0.0,0.0,40,0,0.0,0.0,1,train
DB00009,DB00017,1,0.2,0.14285714285714285,0.6213349345596119,15,1,0.0,0.0,0,
DB00009,DB00027,1,0.2,0.16666666666666666,0.6213349345596119,10,2,0.2,1000.0,0,
DB00009,DB00033,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00009,DB00040,0,0.0,0.0,0.0,30,0,0.0,0.0,0,
DB00009,DB00004,1,0.16666666666666666,0.1,0.5581106265512472,30,1,0.0,0.0,0,
DB00009,DB00030,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train
DB00009,DB00032,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00009,DB00039,1,0.2,0.1111111111111111,0.6213349345596119,25,1,0.0,0.0,1,test
DB00009,DB00006,0,0.0,0.0,0.0,10,0,0.0,0.0,0,
DB00009,DB00019,0,0.0,0.0,0.0,25,0,0.0,0.0,0,
DB00009,DB00007,1,0.2,0.14285714285714285,0.6213349345596119,15,2,0.2,1000.0,0,
DB00009,DB00013,0,0.0,0.0,0.0,25,0,0.0,0.0,1,train
DB00009,DB00024,0,0.0,0.0,0.0,15,0,0.0,0.0,1,test
DB00009,DB00026,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00009,DB00023,1,0.16666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,1,test
DB00009,DB00038,1,0.125,0.2,0.48089834696298783,5,1,0.0,0.0,0,
DB00009,DB00035,0,0.0,0.0,0.0,20,0,0.0,0.0,0,
DB00009,DB00012,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00009,DB00018,3,0.525,0.3,1.7235682160822114,40,3,0.0,0.0,0,
DB00009,DB00034,2,0.29166666666666663,0.2222222222222222,1.039008973514235,30,2,0.0,0.0,0,
DB00009,DB00036,1,0.125,0.16666666666666666,0.48089834696298783,10,1,0.0,0.0,0,
DB00009,DB00037,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00014,1,0.16666666666666666,0.2,0.5581106265512472,9,2,0.16666666666666666,1000.0,0,
DB00011,DB00021,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00025,1,0.16666666666666666,0.14285714285714285,0.5581106265512472,15,2,0.16666666666666666,1000.0,1,train
DB00011,DB00028,1,0.16666666666666666,0.2,0.5581106265512472,9,1,0.0,0.0,0,
DB00011,DB00029,1,0.16666666666666666,0.16666666666666666,0.5581106265512472,12,1,0.0,0.0,0,
DB00011,DB00002,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00011,DB00005,1,0.2,0.1111111111111111,0.6213349345596119,21,1,0.0,0.0,0,
DB00011,DB00008,1,0.14285714285714285,0.2,0.5138983423697507,9,1,0.0,0.0,0,
DB00011,DB00010,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00011,DB00020,0,0.0,0.0,0.0,21,0,0.0,0.0,1,train
DB00011,DB00022,0,0.0,0.0,0.0,6,0,0.0,0.0,1,test
DB00011,DB00031,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00015,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00016,0,0.0,0.0,0.0,24,0,0.0,0.0,0,
DB00011,DB00017,1,0.14285714285714285,0.2,0.5138983423697507,9,1,0.0,0.0,0,
DB00011,DB00027,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00011,DB00033,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00011,DB00040,1,0.14285714285714285,0.125,0.5138983423697507,18,1,0.0,0.0,0,
DB00011,DB00004,1,0.2,0.125,0.6213349345596119,18,1,0.0,0.0,0,
DB00011,DB00030,0,0.0,0.0,0.0,18,0,0.0,0.0,0,
DB00011,DB00032,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00011,DB00039,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00006,0,0.0,0.0,0.0,6,0,0.0,0.0,0,
DB00011,DB00019,1,0.14285714285714285,0.14285714285714285,0.5138983423697507,15,1,0.0,0.0,0,
DB00011,DB00007,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00011,DB00013,0,0.0,0.0,0.0,15,0,0.0,0.0,0,
DB00011,DB00024,0,0.0,0.0,0.0,9,0,0.0,0.0,0,
DB00011,DB00026,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
DB00011,DB00023,0,0.0,0.0,0.0,12,0,0.0,0.0,0,
