u,v,cn,rai,jc,aai,pa,ccn,cra,wic,label,pos_split,sim_atc,sim_mesh,sim_ade,sim_chemical
DB00001,DB00003,0,0.0,0.0,0.0,24,0,0.0,0.0,1,test,0.0,0.0,0.0,0.19354838
DB00001,DB00009,0,0.0,0.0,0.0,30,0,0.0,0.0,1,train,0.0,0.2580426,0.0,1.0
DB00001,DB00011,1,0.2,0.125,0.6213349345596119,18,2,0.2,1000.0,1,train,0.0,0.5296962,0.27168456,0.19354838
DB00001,DB00014,0,0.0,0.0,0.0,18,0,0.0,0.0,1,train,0.0,0.0,0.0,0.09090909
DB00001,DB00021,0,0.0,0.0,0.0,30,0,0.0,0.0,1,test,0.39532402,0.0,0.0,0.21212122
DB00001,DB00025,1,0.3333333333333333,0.1,0.9102392266268372,30,2,0.3333333333333333,1000.0,1,train,0.19728132,0.0,0.0,1.0
DB00001,DB00028,0,0.0,0.0,0.0,18,0,0.0,0.0,1,train,0.0,0.0,0.44082463,0.4347826
DB00001,DB00029,0,0.0,0.0,0.0,24,0,0.0,0.0,1,train,0.0,0.16993551,0.0,0.21212122
DB00001,DB00002,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.19808641,0.0,0.0,0.44
DB00001,DB00005,1,0.2,0.0833333333333333,0.6213349345596119,42,1,0.0,0.0,0,,0.0,0.0,0.0,0.21212122
DB00001,DB00008,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.25521275,0.0,0.0,0.17948718
DB00001,DB00010,1,0.25,0.1111111111111111,0.7213475204444817,24,1,0.0,0.0,0,,0.0,0.0,0.0,0.44
DB00001,DB00020,1,0.3333333333333333,0.0833333333333333,0.9102392266268372,42,1,0.0,0.0,0,,0.39532402,0.2550648,0.0,0.4347826
DB00001,DB00022,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.4619283,0.08895225,0.0,0.09090909
DB00001,DB00031,2,0.45,0.2222222222222222,1.3426824550040934,30,2,0.0,0.0,0,,0.0,0.0,0.0,0.16666667
DB00001,DB00015,0,0.0,0.0,0.0,30,0,0.0,0.0,0,,0.26504955,0.0,0.0,0.16666667
DB00001,DB00016,2,0.5333333333333333,0.1666666666666666,1.531574161186449,48,2,0.0,0.0,0,,0.0,0.0,0.0,0.17948718
DB00001,DB00017,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.8869173,0.11345316,0.0,1.0
DB00001,DB00027,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.27546412,0.19354838
DB00001,DB00033,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.0,0.0,0.0,1.0
DB00001,DB00040,0,0.0,0.0,0.0,36,0,0.0,0.0,0,,0.22516853,0.0,0.0,0.17948718
DB00001,DB00004,1,0.2,0.0909090909090909,0.6213349345596119,36,1,0.0,0.0,0,,0.4619283,0.0,0.0,0.4347826
DB00001,DB00030,1,0.2,0.0909090909090909,0.6213349345596119,36,1,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00001,DB00032,1,0.25,0.1111111111111111,0.7213475204444817,24,1,0.0,0.0,0,,0.0,0.15238883,0.0,0.17948718
DB00001,DB00039,0,0.0,0.0,0.0,30,0,0.0,0.0,0,,0.0,0.10827557,0.25334322,0.16666667
DB00001,DB00006,0,0.0,0.0,0.0,12,0,0.0,0.0,0,,0.0,0.0,0.0,0.09090909
DB00001,DB00019,0,0.0,0.0,0.0,30,0,0.0,0.0,0,,0.2386907,0.0,0.0,0.19354838
DB00001,DB00007,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.0,0.0,0.0,0.16666667
DB00001,DB00013,1,0.2,0.1,0.6213349345596119,30,1,0.0,0.0,0,,0.0,0.0,0.5,0.21212122
DB00001,DB00024,0,0.0,0.0,0.0,18,0,0.0,0.0,0,,0.21493767,0.0,0.0,0.17948718
DB00001,DB00026,0,0.0,0.0,0.0,24,0,0.0,0.0,0,,0.0,0.0,0.0,0.44
