source,target
DB00001,DB00003
DB00001,DB00009
DB00001,DB00011
DB00001,DB00014
DB00001,DB00021
DB00001,DB00025
DB00001,DB00028
DB00001,DB00029
DB00002,DB00005
DB00002,DB00008
DB00002,DB00010
DB00002,DB00020
DB00002,DB00022
DB00002,DB00031
DB00003,DB00015
DB00003,DB00016
DB00003,DB00017
DB00003,DB00021
DB00003,DB00027
DB00003,DB00033
DB00003,DB00040
DB00004,DB00010
DB00004,DB00015
DB00004,DB00017
DB00004,DB00022
DB00004,DB00025
DB00004,DB00027
DB00004,DB00030
DB00005,DB00010
DB00005,DB00016
DB00005,DB00021
DB00005,DB00025
DB00005,DB00032
DB00005,DB00039
DB00006,DB00019
DB00006,DB00025
DB00006,DB00029
DB00006,DB00040
DB00007,DB00013
DB00007,DB00017
DB00007,DB00019
DB00007,DB00024
DB00008,DB00009
DB00008,DB00013
DB00008,DB00020
DB00008,DB00026
DB00008,DB00031
DB00008,DB00032
DB00008,DB00033
DB00009,DB00013
DB00009,DB00016
DB00009,DB00023
DB00009,DB00024
DB00009,DB00030
DB00009,DB00031
DB00009,DB00039
DB00010,DB00014
DB00010,DB00020
DB00010,DB00029
DB00010,DB00038
DB00011,DB00020
DB00011,DB00022
DB00011,DB00025
DB00011,DB00035
DB00012,DB00014
DB00012,DB00025
DB00012,DB00033
DB00013,DB00017
DB00013,DB00018
DB00013,DB00027
DB00013,DB00031
DB00013,DB00039
DB00014,DB00016
DB00014,DB00018
DB00014,DB00021
DB00015,DB00021
DB00015,DB00026
DB00015,DB00030
DB00016,DB00018
DB00016,DB00030
DB00016,DB00034
DB00016,DB00036
DB00016,DB00038
DB00017,DB00018
DB00017,DB00020
DB00017,DB00022
DB00017,DB00031
DB00017,DB00032
DB00018,DB00020
DB00018,DB00021
DB00018,DB00022
DB00018,DB00028
DB00018,DB00031
DB00018,DB00034
DB00018,DB00035
DB00019,DB00020
DB00019,DB00023
DB00019,DB00027
DB00019,DB00037
DB00020,DB00034
DB00020,DB00040
DB00021,DB00030
DB00021,DB00032
DB00021,DB00040
DB00022,DB00035
DB00022,DB00037
DB00023,DB00030
DB00023,DB00033
DB00023,DB00034
DB00023,DB00040
DB00024,DB00032
DB00024,DB00037
DB00024,DB00039
DB00024,DB00040
DB00025,DB00029
DB00026,DB00033
DB00026,DB00034
DB00026,DB00035
DB00026,DB00036
DB00028,DB00030
DB00028,DB00031
DB00028,DB00036
DB00029,DB00031
DB00029,DB00032
DB00029,DB00036
DB00030,DB00034
DB00031,DB00034
DB00035,DB00039
DB00036,DB00039
DB00037,DB00039
DB00039,DB00040
