drugbank_id,name,smiles,atc_codes,mesh_terms,side_effect_codes
DB00001,SampleDrug_1,CC(=O)OC1=CC=CC=C1C(=O)O,"['B', 'A', 'R']","['D000115', 'D000114', 'D000108', 'D000147']","['C0001043', 'C0001047']"
DB00002,SampleDrug_2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,"['B', 'N', 'J']","['D000101', 'D000105']","['C0001014', 'C0001032', 'C0001038']"
DB00003,SampleDrug_3,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,['M'],"['D000145', 'D000141', 'D000144']","['C0001026', 'C0001014', 'C0001028', 'C0001037', 'C0001017', 'C0001000']"
DB00004,SampleDrug_4,CC(=O)NC1=CC=C(C=C1)O,['R'],"['D000121', 'D000117', 'D000109', 'D000113', 'D000148']","['C0001006', 'C0001005', 'C0001024', 'C0001022']"
DB00005,SampleDrug_5,C1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C,"['N', 'G']","['D000146', 'D000129']","['C0001007', 'C0001024', 'C0001005', 'C0001035', 'C0001018', 'C0001040']"
DB00006,SampleDrug_6,CN1CCC[C@H]1C2=CN=CC=C2,"['V', 'H', 'N']","['D000145', 'D000104', 'D000102']","['C0001049', 'C0001018', 'C0001005']"
DB00007,SampleDrug_7,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,['V'],"['D000124', 'D000117']","['C0001040', 'C0001023', 'C0001010', 'C0001022', 'C0001013']"
DB00008,SampleDrug_8,C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,"['G', 'R', 'P']","['D000138', 'D000140']","['C0001034', 'C0001046', 'C0001015']"
DB00009,SampleDrug_9,CC(=O)OC1=CC=CC=C1C(=O)O,['L'],"['D000117', 'D000140', 'D000144', 'D000135', 'D000114']","['C0001049', 'C0001003', 'C0001014', 'C0001002']"
DB00010,SampleDrug_10,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,"['J', 'G']","['D000113', 'D000136']","['C0001013', 'C0001041', 'C0001031', 'C0001025']"
DB00011,SampleDrug_11,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"['L', 'C', 'G']","['D000115', 'D000147', 'D000135']","['C0001016', 'C0001047', 'C0001037', 'C0001027', 'C0001048', 'C0001025']"
DB00012,SampleDrug_12,CC(=O)NC1=CC=C(C=C1)O,"['D', 'C']","['D000105', 'D000148', 'D000103', 'D000107', 'D000109']","['C0001043', 'C0001027', 'C0001038']"
DB00013,SampleDrug_13,C1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C,['J'],"['D000138', 'D000129', 'D000133', 'D000116', 'D000135']","['C0001043', 'C0001046']"
DB00014,SampleDrug_14,CN1CCC[C@H]1C2=CN=CC=C2,['P'],"['D000149', 'D000141', 'D000121', 'D000107']","['C0001027', 'C0001010', 'C0001029', 'C0001000']"
DB00015,SampleDrug_15,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,"['R', 'G', 'M']","['D000132', 'D000106', 'D000140']","['C0001040', 'C0001032', 'C0001038', 'C0001012']"
DB00016,SampleDrug_16,C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,['H'],"['D000134', 'D000149', 'D000133']","['C0001038', 'C0001020']"
DB00017,SampleDrug_17,CC(=O)OC1=CC=CC=C1C(=O)O,"['A', 'B']","['D000119', 'D000115', 'D000103', 'D000136']","['C0001005', 'C0001046']"
DB00018,SampleDrug_18,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,"['V', 'B']","['D000108', 'D000142', 'D000130']","['C0001010', 'C0001016', 'C0001033', 'C0001038', 'C0001027', 'C0001013']"
DB00019,SampleDrug_19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"['S', 'R', 'V']","['D000145', 'D000119', 'D000125']","['C0001028', 'C0001033', 'C0001007', 'C0001015']"
DB00020,SampleDrug_20,CC(=O)NC1=CC=C(C=C1)O,['B'],"['D000101', 'D000137', 'D000135', 'D000114']","['C0001014', 'C0001000', 'C0001004', 'C0001045', 'C0001040', 'C0001003']"
DB00021,SampleDrug_21,C1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C,['B'],"['D000121', 'D000104']","['C0001015', 'C0001017', 'C0001042', 'C0001031', 'C0001013', 'C0001034']"
DB00022,SampleDrug_22,CN1CCC[C@H]1C2=CN=CC=C2,['R'],"['D000115', 'D000130', 'D000126', 'D000112', 'D000106']","['C0001042', 'C0001027']"
DB00023,SampleDrug_23,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,"['J', 'V']","['D000146', 'D000103', 'D000143', 'D000141', 'D000106']","['C0001025', 'C0001046']"
