,DB00001,DB00002,DB00003,DB00004,DB00005,DB00006,DB00007,DB00008,DB00009,DB00010,DB00011,DB00012,DB00013,DB00014,DB00015,DB00016,DB00017,DB00018,DB00019,DB00020,DB00021,DB00022,DB00023,DB00024,DB00025,DB00026,DB00027,DB00028,DB00029,DB00030,DB00031,DB00032,DB00033,DB00034,DB00035,DB00036,DB00037,DB00038,DB00039,DB00040
DB00001,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2716845474421806,0.4826939824048237,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27546413135269276,0.440824613304327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25334323750673743,0.0
DB00002,0.0,0.9999999999999999,0.18943915907563477,0.0,0.0,0.0,0.0,0.0,0.25360797169642674,0.0,0.0,0.24009351297111242,0.0,0.0,0.4854037854287807,0.23366581153296534,0.0,0.15230191018332254,0.0,0.2085934261497844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21926755640306148,0.13214700385339792,0.0,0.2819200809375917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27221366692365967
DB00003,0.0,0.18943915907563477,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.15634345942830027,0.0,0.24610294714193065,0.0,0.0,0.11702225416857272,0.0,0.0,0.0,0.0,0.20439385201388718,0.23562502152076634,0.18475592334856863,0.0,0.0,0.25483639476607267,0.0,0.15462333735025852,0.0,0.0,0.17992179722320653,0.0,0.0,0.2370465196553991,0.0,0.0,0.1324747901466791,0.0957075163955196,0.0,0.0,0.17157117175633443,0.16781344098067905
DB00004,0.0,0.0,0.0,1.0000000000000002,0.3334934216076487,0.17974281846062246,0.25195535335617536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2476537889801724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20837028159876553,0.3600823671159046,0.0,0.0,0.12056230633510985,0.0,0.21710514603199174,0.0,0.2869294728063927,0.0,0.0,0.0,0.0,0.41467239882700163,0.0,0.0
DB00005,0.0,0.0,0.0,0.3334934216076487,1.0000000000000002,0.4820136674475693,0.15282974558362614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15607406413864328,0.0,0.19010214625154445,0.0,0.1959914658875455,0.15119057292396554,0.0,0.0,0.0,0.0,0.15994763459942624,0.2764037291654376,0.0,0.0,0.09254513442221352,0.0,0.0,0.0,0.0,0.0,0.0,0.399926083889351,0.0,0.0,0.0,0.0
DB00006,0.0,0.0,0.0,0.17974281846062246,0.4820136674475693,0.9999999999999998,0.0,0.0,0.23143084164734704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29346695423688013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24691643986584236,0.0,0.17796962521958046,0.0,0.1428649768761304,0.0,0.0,0.0,0.0,0.0,0.23560179285716093,0.0,0.0,0.31668221044426753,0.0,0.0
DB00007,0.0,0.0,0.0,0.25195535335617536,0.15282974558362614,0.0,1.0,0.0,0.0,0.117330448996432,0.0,0.0,0.0,0.19187759945885682,0.18116547808077427,0.0,0.0,0.3061918950921619,0.0,0.17549688717495635,0.11030949233229534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10376654173591725,0.20849223145841833,0.0,0.16662591475210145,0.0,0.0,0.22933196419770183,0.3694808016546862,0.0,0.0
DB00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.4028422536520119,0.0,0.0,0.0,0.4396906409095825,0.0,0.3077199004728043,0.0,0.4574174303541968,0.0,0.4028422536520119,0.0,0.0,0.0,0.18100564666413624,0.0,0.0,0.0,0.16863002084519635,0.2299988417071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00009,0.0,0.25360797169642674,0.15634345942830027,0.0,0.0,0.23143084164734704,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43927132188330975,0.0,0.0,0.0,0.0,0.0,0.0,0.41069534965220755,0.0,0.19033522972778433,0.0,0.0,0.0,0.0,0.0,0.47433101816081197,0.0,0.16295552043480402,0.2864015036612263,0.0,0.22465696426321313
DB00010,0.0,0.0,0.0,0.0,0.0,0.0,0.117330448996432,0.0,0.0,1.0,0.1576725712717581,0.0,0.0,0.0,0.0,0.0,0.0,0.12062747627458376,0.0,0.0,0.3754728722573662,0.0,0.29017581742537946,0.0,0.0,0.0,0.0,0.0,0.0,0.23379016049390922,0.10110142104168628,0.0,0.0,0.16234632553025807,0.0,0.0,0.0,0.0,0.0,0.0
