,DB00001,DB00002,DB00003,DB00004,DB00005,DB00006,DB00007,DB00008,DB00009,DB00010,DB00011,DB00012,DB00013,DB00014,DB00015,DB00016,DB00017,DB00018,DB00019,DB00020,DB00021,DB00022,DB00023,DB00024,DB00025,DB00026,DB00027,DB00028,DB00029,DB00030,DB00031,DB00032,DB00033,DB00034,DB00035,DB00036,DB00037,DB00038,DB00039,DB00040
DB00001,1.0,0.19808640810838968,0.0,0.46192830704528853,0.0,0.0,0.0,0.2552127566716075,0.0,0.0,0.0,0.0,0.0,0.0,0.26504955206470987,0.0,0.8869172673650421,0.2570430326635996,0.23869070621039853,0.3953240082461488,0.3953240082461488,0.46192830704528853,0.0,0.21493766924133198,0.19728132314931937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953240082461488,0.0,0.0,0.0,0.0,0.0,0.22516853359389302
DB00002,0.19808640810838968,1.0,0.0,0.0,0.48595946935368634,0.36517075751394734,0.0,0.0,0.0,0.4301566109273665,0.0,0.0,0.585494572505852,0.0,0.0,0.0,0.2233425995830344,0.3258022905927411,0.0,0.5010735598558715,0.5010735598558715,0.0,0.41400718256680674,0.27243370204528244,0.25005426642835077,0.0,0.4301566109273665,0.0,0.585494572505852,0.3561680204570908,0.0,0.0,0.4052324831096214,0.5010735598558715,0.0,0.0,0.0,0.0,0.7167720059068003,0.0
DB00003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245361159713873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5033926718223465,0.0,0.5588908362707513,0.0,0.0,0.0,0.0,0.5850898296890706,0.0,1.0,0.0,0.0,0.0
DB00004,0.46192830704528853,0.0,0.0,1.0,0.0,0.0,0.0,0.55249430004424,0.0,0.0,0.0,0.0,0.0,0.0,0.5737893695237946,0.0,0.0,0.0,0.516726735664192,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4874534211470547
DB00005,0.0,0.48595946935368634,0.0,0.0,0.9999999999999998,0.4369584821809766,0.0,0.3300379146338372,0.0,0.4388739068494261,0.28663954516680995,0.0,0.0,0.0,0.3427587342376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4388739068494261,0.0,0.0,0.4261859264960154,0.2978904206451474,0.0,0.4848958113609231,0.0,0.321109771414331,0.0,0.0,0.0,0.4650959840708018,0.0
DB00006,0.0,0.36517075751394734,0.0,0.0,0.4369584821809766,1.0000000000000002,0.5264571139391795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6280872471252062,0.0,0.3999788539083702,0.2720344659529838,0.0,0.0,0.0,0.3722613952702927,0.0,0.0,0.0,0.0,0.0,0.0,0.7050222999932407,0.0,0.42096338328545296,0.3643714793447829,0.0,0.0,0.0,0.0,0.6280872471252062,0.6444973861449739,0.25662332127685783
DB00007,0.0,0.0,0.0,0.0,0.0,0.5264571139391795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759755815465301,0.516726735664192,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603577901875018,0.4874534211470547
DB00008,0.2552127566716075,0.0,0.0,0.55249430004424,0.3300379146338372,0.0,0.0,1.0,0.0,0.3460991297077125,0.2260460136129353,0.0,0.0,0.6591507926840254,0.5873173671392609,0.0,0.0,0.0,0.28548857613493284,0.0,0.0,0.55249430004424,0.0,0.0,0.0,0.0,0.3460991297077125,0.0,0.0,0.0,0.6270776022696463,0.0,0.0,0.0,0.6759557594626968,0.6591507926840254,0.0,0.0,0.0,0.26931523672081215
DB00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.633907694445084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6109811036175993,0.0,0.0,0.6587891759266818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00010,0.0,0.4301566109273665,0.0,0.0,0.4388739068494261,0.0,0.0,0.3460991297077125,0.0,1.0,0.3005887891156745,0.0,0.734689322714545,0.0,0.3594390049124864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195038021568066,0.0,0.0,0.0,1.0,0.0,0.734689322714545,0.0,0.31238718572056934,0.0,0.0,0.0,0.33673650056370896,0.0,0.0,0.0,0.41168888535067477,0.0
DB00011,0.0,0.0,0.0,0.0,0.28663954516680995,0.0,0.0,0.2260460136129353,0.633907694445084,0.3005887891156745,1.0,0.42115816100911957,0.0,0.0,0.23475862035852224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633907694445084,0.3005887891156745,0.3873056227437453,0.0,0.0,0.6216394259317858,0.47045635777830946,0.0,0.0,0.21993104592513554,0.0,0.0,0.0,0.0,0.0
DB00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42115816100911957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476748886162202,0.6643840494439761,0.0,0.0,0.0,0.0,0.0,0.4930744693689705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5414221427714879
DB00013,0.0,0.585494572505852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734689322714545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.734689322714545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603577901875018,0.0
DB00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591507926840254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949459083180603,0.0,0.0,0.0,0.6413195302157022,1.0,0.0,0.0,0.0,0.0
DB00015,0.26504955206470987,0.0,0.6245361159713873,0.5737893695237946,0.3427587342376812,0.0,0.0,0.5873173671392609,0.0,0.3594390049124864,0.23475862035852224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2964923078728452,0.0,0.0,0.5737893695237946,0.0,0.0,0.0,0.0,0.3594390049124864,0.3143869040683875,0.0,0.34904751213653556,0.24397312006610083,0.0,0.0,0.0,0.628399565541151,0.0,0.6245361159713873,0.0,0.0,0.27969559119218523
DB00016,0.0,0.0,0.0,0.0,0.0,0.6280872471252062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6126026985454445,0.0,0.6702307445537672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DB00017,0.8869172673650421,0.2233425995830344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.28981624568800335,0.0,0.4457281674316971,0.4457281674316971,0.0,0.0,0.24234241135015222,0.2224348655827007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457281674316971,0.0,0.0,0.0,0.0,0.0,0.0
DB00018,0.2570430326635996,0.3258022905927411,0.0,0.0,0.0,0.3999788539083702,0.759755815465301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28981624568800335,1.0000000000000002,0.39258614242727125,0.6502085056861804,0.6502085056861804,0.0,0.5372284891614296,0.3535183743408239,0.3244781284440522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6502085056861804,0.0,0.0,0.0,0.0,0.4257350898362395,0.37034557148493136
DB00019,0.23869070621039853,0.0,0.0,0.516726735664192,0.0,0.2720344659529838,0.516726735664192,0.28548857613493284,0.0,0.0,0.0,0.0,0.0,0.0,0.2964923078728452,0.0,0.0,0.39258614242727125,1.0000000000000002,0.0,0.0,0.516726735664192,0.3653809788085388,0.5729194467716799,0.0,0.0,0.0,0.41707548269356626,0.0,0.0,0.0,0.0,0.5268464878317158,0.0,0.0,0.0,0.0,0.0,0.289551851727588,0.5037604301953205
DB00020,0.3953240082461488,0.5010735598558715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457281674316971,0.6502085056861804,0.0,1.0,1.0,0.0,0.0,0.5437000150709311,0.4990370405899609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00021,0.3953240082461488,0.5010735598558715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457281674316971,0.6502085056861804,0.0,1.0,1.0,0.0,0.0,0.5437000150709311,0.4990370405899609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00022,0.46192830704528853,0.0,0.0,1.0,0.0,0.0,0.0,0.55249430004424,0.0,0.0,0.0,0.0,0.0,0.0,0.5737893695237946,0.0,0.0,0.0,0.516726735664192,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4874534211470547
DB00023,0.0,0.41400718256680674,0.0,0.0,0.0,0.3722613952702927,0.7071067811865476,0.0,0.0,0.5195038021568066,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.5372284891614296,0.3653809788085388,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.5195038021568066,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7924655866645823,0.3446816196056644
DB00024,0.21493766924133198,0.27243370204528244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24234241135015222,0.3535183743408239,0.5729194467716799,0.5437000150709311,0.5437000150709311,0.0,0.0,1.0,0.2713264464897146,0.0,0.0,0.5127839932267338,0.0,0.0,0.0,0.0,0.6477447298102581,0.5437000150709311,0.0,0.0,0.0,0.0,0.0,0.0
DB00025,0.19728132314931937,0.25005426642835077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476748886162202,0.0,0.0,0.0,0.0,0.2224348655827007,0.3244781284440522,0.0,0.4990370405899609,0.4990370405899609,0.0,0.0,0.2713264464897146,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4990370405899609,0.0,0.0,0.0,0.0,0.0,0.6277647624083493
DB00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633907694445084,0.6643840494439761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7421527801301449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00027,0.0,0.4301566109273665,0.0,0.0,0.4388739068494261,0.0,0.0,0.3460991297077125,0.0,1.0,0.3005887891156745,0.0,0.734689322714545,0.0,0.3594390049124864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195038021568066,0.0,0.0,0.0,1.0,0.0,0.734689322714545,0.0,0.31238718572056934,0.0,0.0,0.0,0.33673650056370896,0.0,0.0,0.0,0.41168888535067477,0.0
DB00028,0.0,0.0,0.5033926718223465,0.0,0.0,0.0,0.0,0.0,0.6109811036175993,0.0,0.3873056227437453,0.0,0.0,0.0,0.3143869040683875,0.0,0.0,0.0,0.41707548269356626,0.0,0.0,0.0,0.0,0.5127839932267338,0.0,0.0,0.0,0.9999999999999999,0.0,0.2813415513273591,0.40250773775901283,0.0,0.47154699909408154,0.0,0.29452993262326294,0.0,0.5033926718223465,0.0,0.0,0.0
DB00029,0.0,0.585494572505852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734689322714545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.734689322714545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603577901875018,0.0
DB00030,0.0,0.3561680204570908,0.5588908362707513,0.0,0.4261859264960154,0.7050222999932407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34904751213653556,0.6126026985454445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813415513273591,0.0,1.0000000000000002,0.0,0.4105851627617602,0.3553884472918025,0.0,0.32700134420843613,0.0,0.5588908362707513,0.6126026985454445,0.3408768146638925,0.0
DB00031,0.0,0.0,0.0,0.0,0.2978904206451474,0.0,0.0,0.6270776022696463,0.6587891759266818,0.31238718572056934,0.6216394259317858,0.0,0.0,0.5949459083180603,0.24397312006610083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31238718572056934,0.40250773775901283,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.6101139796233833,0.5949459083180603,0.0,0.0,0.0,0.0
