,DB00001,DB00002,DB00003,DB00004,DB00005,DB00006,DB00007,DB00008,DB00009,DB00010,DB00011,DB00012,DB00013,DB00014,DB00015,DB00016,DB00017,DB00018,DB00019,DB00020,DB00021,DB00022,DB00023,DB00024,DB00025,DB00026,DB00027,DB00028,DB00029,DB00030,DB00031,DB00032,DB00033,DB00034,DB00035,DB00036,DB00037,DB00038,DB00039,DB00040
DB00001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25804261739578915,0.0,0.5296962542762805,0.0,0.0,0.0,0.0,0.0,0.11345315770917722,0.39193601689886187,0.0,0.2550647942275904,0.0,0.08895225239969116,0.0,0.0,0.0,0.0,0.0,0.0,0.16993550614471645,0.0,0.0,0.15238882056216185,0.0,0.0,0.0,0.26618068265036454,0.0,0.12618465893990413,0.10827557110029125,0.0
DB00002,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549796549226579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45132306518435444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416721776357766,0.0,0.0,0.0,0.0,0.0,0.0,0.23459864454794063,0.0,0.0,0.0,0.0,0.0
DB00003,0.0,0.0,1.0,0.0,0.0,0.251743809599361,0.0,0.0,0.30997729120897044,0.0,0.0,0.0,0.0,0.2327926704071586,0.0,0.0,0.0,0.0,0.26425516120992915,0.0,0.0,0.0,0.23200075085417834,0.0,0.2718873674922439,0.0,0.0,0.0,0.0,0.2385324095673408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31196213409271434
DB00004,0.0,0.0,0.0,1.0,0.0,0.0,0.2572453872150834,0.0,0.18684695183600641,0.2386490896435047,0.0,0.44701845728875417,0.0,0.2247195867630302,0.0,0.0,0.0,0.0,0.0,0.0,0.33577918102330734,0.0,0.0,0.0,0.0,0.13174277018910524,0.3736359778376076,0.0,0.0,0.14839638837397634,0.21177013056523084,0.0,0.0,0.21217434888223144,0.0,0.0,0.0,0.0,0.0,0.0
DB00005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28883294896288453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41259761541063994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29168461766956066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00006,0.0,0.0,0.251743809599361,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21723523042925233,0.0,0.36186507042310356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960894262952207,0.22822205050639469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00007,0.0,0.0,0.0,0.2572453872150834,0.0,0.0,0.9999999999999999,0.0,0.2697452650029261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30630965827204737,0.0,0.0,0.0,0.0,0.0,0.4595158042543672
DB00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2940798871211145,0.0,0.0,0.0,0.33004808540823727,0.0,0.354710377804285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4226004228124297,0.2557625725392305,0.0,0.0,0.0,0.0,0.0
DB00009,0.25804261739578915,0.0,0.30997729120897044,0.18684695183600641,0.0,0.0,0.2697452650029261,0.2940798871211145,0.9999999999999999,0.0,0.16626181746222465,0.0,0.09956220426645769,0.0,0.23632018784469477,0.0,0.0,0.0,0.0,0.35604910647208904,0.0,0.0,0.0,0.0,0.12461124817626429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20222323454796753,0.22248416807648397,0.17039777510953663,0.11580450323260426,0.0,0.0,0.0,0.24952955872922808
DB00010,0.0,0.0,0.0,0.2386490896435047,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4422089424834194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2163439405748166,0.24046083983173194,0.0,0.6623614712890538,0.24369200208720002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
