,DB00001,DB00002,DB00003,DB00004,DB00005,DB00006,DB00007,DB00008,DB00009,DB00010,DB00011,DB00012,DB00013,DB00014,DB00015,DB00016,DB00017,DB00018,DB00019,DB00020,DB00021,DB00022,DB00023,DB00024,DB00025,DB00026,DB00027,DB00028,DB00029,DB00030,DB00031,DB00032,DB00033,DB00034,DB00035,DB00036,DB00037,DB00038,DB00039,DB00040
DB00001,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795
DB00002,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333
DB00003,0.1935483870967742,0.13157894736842105,1.0,0.14285714285714285,0.11904761904761904,0.10256410256410256,0.08888888888888889,0.20454545454545456,0.1935483870967742,0.13157894736842105,1.0,0.14285714285714285,0.11904761904761904,0.10256410256410256,0.08888888888888889,0.20454545454545456,0.1935483870967742,0.13157894736842105,1.0,0.14285714285714285,0.11904761904761904,0.10256410256410256,0.08888888888888889,0.20454545454545456,0.1935483870967742,0.13157894736842105,1.0,0.14285714285714285,0.11904761904761904,0.10256410256410256,0.08888888888888889,0.20454545454545456,0.1935483870967742,0.13157894736842105,1.0,0.14285714285714285,0.11904761904761904,0.10256410256410256,0.08888888888888889,0.20454545454545456
DB00004,0.43478260869565216,0.56,0.14285714285714285,1.0,0.30303030303030304,0.08333333333333333,0.15384615384615385,0.32432432432432434,0.43478260869565216,0.56,0.14285714285714285,1.0,0.30303030303030304,0.08333333333333333,0.15384615384615385,0.32432432432432434,0.43478260869565216,0.56,0.14285714285714285,1.0,0.30303030303030304,0.08333333333333333,0.15384615384615385,0.32432432432432434,0.43478260869565216,0.56,0.14285714285714285,1.0,0.30303030303030304,0.08333333333333333,0.15384615384615385,0.32432432432432434,0.43478260869565216,0.56,0.14285714285714285,1.0,0.30303030303030304,0.08333333333333333,0.15384615384615385,0.32432432432432434
DB00005,0.21212121212121213,0.4375,0.11904761904761904,0.30303030303030304,1.0,0.15,0.04,0.3333333333333333,0.21212121212121213,0.4375,0.11904761904761904,0.30303030303030304,1.0,0.15,0.04,0.3333333333333333,0.21212121212121213,0.4375,0.11904761904761904,0.30303030303030304,1.0,0.15,0.04,0.3333333333333333,0.21212121212121213,0.4375,0.11904761904761904,0.30303030303030304,1.0,0.15,0.04,0.3333333333333333,0.21212121212121213,0.4375,0.11904761904761904,0.30303030303030304,1.0,0.15,0.04,0.3333333333333333
DB00006,0.09090909090909091,0.07692307692307693,0.10256410256410256,0.08333333333333333,0.15,1.0,0.06666666666666667,0.13043478260869565,0.09090909090909091,0.07692307692307693,0.10256410256410256,0.08333333333333333,0.15,1.0,0.06666666666666667,0.13043478260869565,0.09090909090909091,0.07692307692307693,0.10256410256410256,0.08333333333333333,0.15,1.0,0.06666666666666667,0.13043478260869565,0.09090909090909091,0.07692307692307693,0.10256410256410256,0.08333333333333333,0.15,1.0,0.06666666666666667,0.13043478260869565,0.09090909090909091,0.07692307692307693,0.10256410256410256,0.08333333333333333,0.15,1.0,0.06666666666666667,0.13043478260869565
DB00007,0.16666666666666666,0.2,0.08888888888888889,0.15384615384615385,0.04,0.06666666666666667,1.0,0.20833333333333334,0.16666666666666666,0.2,0.08888888888888889,0.15384615384615385,0.04,0.06666666666666667,1.0,0.20833333333333334,0.16666666666666666,0.2,0.08888888888888889,0.15384615384615385,0.04,0.06666666666666667,1.0,0.20833333333333334,0.16666666666666666,0.2,0.08888888888888889,0.15384615384615385,0.04,0.06666666666666667,1.0,0.20833333333333334,0.16666666666666666,0.2,0.08888888888888889,0.15384615384615385,0.04,0.06666666666666667,1.0,0.20833333333333334
DB00008,0.1794871794871795,0.3333333333333333,0.20454545454545456,0.32432432432432434,0.3333333333333333,0.13043478260869565,0.20833333333333334,1.0,0.1794871794871795,0.3333333333333333,0.20454545454545456,0.32432432432432434,0.3333333333333333,0.13043478260869565,0.20833333333333334,1.0,0.1794871794871795,0.3333333333333333,0.20454545454545456,0.32432432432432434,0.3333333333333333,0.13043478260869565,0.20833333333333334,1.0,0.1794871794871795,0.3333333333333333,0.20454545454545456,0.32432432432432434,0.3333333333333333,0.13043478260869565,0.20833333333333334,1.0,0.1794871794871795,0.3333333333333333,0.20454545454545456,0.32432432432432434,0.3333333333333333,0.13043478260869565,0.20833333333333334,1.0
DB00009,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795,1.0,0.44,0.1935483870967742,0.43478260869565216,0.21212121212121213,0.09090909090909091,0.16666666666666666,0.1794871794871795
DB00010,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333,0.44,1.0,0.13157894736842105,0.56,0.4375,0.07692307692307693,0.2,0.3333333333333333
