cn,rai,jc,aai,pa,ccn,cra,wic,label,sim_atc,sim_mesh,sim_ade,sim_chemical
1,0.1666666666666666,0.1111111111111111,0.5581106265512472,21,1,0.0,0.0,0,0.54370004,0.0,0.0,0.3243243
2,0.325,0.1538461538461538,1.1022332815225997,56,2,0.0,0.0,0,0.0,0.0,0.0,0.4375
0,0.0,0.0,0.0,6,0,0.0,0.0,0,0.0,0.0,0.29346696,0.09090909
0,0.0,0.0,0.0,18,0,0.0,0.0,0,0.0,0.0,0.0,0.16666667
0,0.0,0.0,0.0,15,0,0.0,0.0,0,0.62163943,0.0,0.0,0.08888889
0,0.0,0.0,0.0,18,0,0.0,0.0,0,0.0,0.0,0.39741415,0.102564104
1,0.1428571428571428,0.2,0.5138983423697507,9,1,0.0,0.0,0,0.0,0.0,0.43969065,0.17948718
1,0.2,0.1,0.6213349345596119,30,1,0.0,0.0,0,0.0,0.0,0.5,0.21212122
0,0.0,0.0,0.0,24,0,0.0,0.0,0,0.0,0.0,0.0,0.33333334
0,0.0,0.0,0.0,16,0,0.0,0.0,0,0.0,0.078849375,0.0,0.08888889
0,0.0,0.0,0.0,6,0,0.0,0.0,0,0.34609914,0.0,0.18100564,0.20454545
0,0.0,0.0,0.0,18,0,0.0,0.0,0,0.0,0.2572454,0.25195536,0.15384616
1,0.25,0.0833333333333333,0.7213475204444817,40,1,0.0,0.0,0,0.0,0.0,0.16373777,0.20833333
0,0.0,0.0,0.0,32,0,0.0,0.0,1,0.0,0.0,0.0,0.13157895
0,0.0,0.0,0.0,25,0,0.0,0.0,1,0.65878916,0.0,0.0,0.16666667
0,0.0,0.0,0.0,20,0,0.0,0.0,0,0.0,0.0,0.22029692,0.16666667
0,0.0,0.0,0.0,15,0,0.0,0.0,1,0.0,0.0,0.0,0.04
0,0.0,0.0,0.0,16,0,0.0,0.0,1,0.0,0.24977273,0.0,0.33333334
0,0.0,0.0,0.0,12,0,0.0,0.0,0,0.0,0.0,0.40284225,0.20833333
0,0.0,0.0,0.0,12,0,0.0,0.0,0,0.0,0.103250556,0.5457355,0.16666667
1,0.1666666666666666,0.1,0.5581106265512472,30,1,0.0,0.0,0,0.0,0.0,0.0,0.09090909
0,0.0,0.0,0.0,6,0,0.0,0.0,0,0.0,0.0,0.0,0.083333336
0,0.0,0.0,0.0,15,0,0.0,0.0,0,0.0,0.20990492,0.0,0.15384616
0,0.0,0.0,0.0,35,0,0.0,0.0,0,0.0,0.0,0.17922239,0.15384616
1,0.1666666666666666,0.125,0.5581106265512472,20,1,0.0,0.0,0,0.0,0.18254928,0.0,1.0
0,0.0,0.0,0.0,4,0,0.0,0.0,0,0.0,0.0,0.29156315,0.102564104
0,0.0,0.0,0.0,20,0,0.0,0.0,1,0.36538097,0.0,0.0,0.08888889
0,0.0,0.0,0.0,12,0,0.0,0.0,0,0.0,0.0,0.11733045,0.2
0,0.0,0.0,0.0,28,0,0.0,0.0,0,0.48489583,0.0,0.0,0.21212122
1,0.1666666666666666,0.1666666666666666,0.5581106265512472,12,1,0.0,0.0,0,0.0,0.0,0.0,0.15
0,0.0,0.0,0.0,9,0,0.0,0.0,0,0.0,0.10304498,0.0,0.4347826
0,0.0,0.0,0.0,21,0,0.0,0.0,0,0.0,0.0,0.12885442,0.083333336
0,0.0,0.0,0.0,10,0,0.0,0.0,0,0.5949459,0.0,0.13522232,0.15384616
0,0.0,0.0,0.0,24,0,0.0,0.0,1,0.0,0.31196213,0.16781344,0.20454545
0,0.0,0.0,0.0,20,0,0.0,0.0,1,0.0,0.0,0.23382708,0.08888889
